Seller_address,Buyer_address,edge_value,Collection
0x00a839de7922491683f547a67795204763ff8237,0xa015fe2a1947b23ad454e699f8cbbda419671f5e,1,Cryptovoxels
0x00a839de7922491683f547a67795204763ff8237,0xc35a5fec6be6957899e15559be252db882220b37,1,Cryptovoxels
0x00d0e85cad26ce0f456db566721346cc4d2fd44c,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x00e7e3d2f91f33ad512b8f3ddc634c9dadfc8f1a,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x00e7e3d2f91f33ad512b8f3ddc634c9dadfc8f1a,0x3dca25d72528249a844e64a762cc3bfd12da514e,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0x060773320d06bcbc3ebf01d0cddb90cf485633fa,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0x13816f65ba8195768e6825eb774fd3c6a05a0ac8,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,12,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0x7672b17d5eebb7194d57066f86fbcb4e85a7e10e,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0x8e662143178bb8c797620a3a61f34a71832475b0,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0xa13e1b3e5959378df847fce2161cee55df64cc1f,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0xabf107de3e01c7c257e64e0a18d60a733aad395d,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0xd2af803ad747ea12acf5ae468056703ae48785b5,1,Cryptovoxels
0x010215b77f65e3f8d1fee2194b80ae4c4fc73c95,0xfacef700458d4fc9746f7f3e0d37b462711ff09e,1,Cryptovoxels
0x010931976227576a1139da8201c25e01a38d9da0,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,2,Cryptovoxels
0x014bbe759d9c416310d3e5f9cc37123e21e49bf7,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,0x1672044c7e7e0e1dcada77ae6a08b5429ca0b69c,1,Cryptovoxels
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,0x1a4c39690cc125518b80cb2895beebc7055e3e6b,1,Cryptovoxels
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,0x1b4f6ad9f97f02637e4b9677b957acde7fb2fbd2,1,Cryptovoxels
0x018edc98b3190dbb261e6ff3858c4ba59c71ba94,0xa3f68f17daafcfada876e8c57c6aef81bda018e4,1,Cryptovoxels
0x01bb750e9b3ba4ef2d5a6940d095669a50aab72d,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,5,Cryptovoxels
0x01bb750e9b3ba4ef2d5a6940d095669a50aab72d,0xa752caf7592062ad2a162cbe437a5e7955f595ca,1,Cryptovoxels
0x01bb750e9b3ba4ef2d5a6940d095669a50aab72d,0xd0c877b474cd51959931a7f70d7a6c60f50cdae7,1,Cryptovoxels
0x01cb023186cab05220554ee75b4d69921dd051f1,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x021bf14e7f8d4ac6615e0ff22f10ae72c12cd6cf,0x0eb9a7ff5cbf719251989caf1599c1270eafb531,1,Cryptovoxels
0x021bf14e7f8d4ac6615e0ff22f10ae72c12cd6cf,0xabf107de3e01c7c257e64e0a18d60a733aad395d,1,Cryptovoxels
0x021bf14e7f8d4ac6615e0ff22f10ae72c12cd6cf,0xbe35171887d3ba015556d664abf5792d0869796e,1,Cryptovoxels
0x02206509a713e003bd099fd12a2edfef9af84665,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,2,Cryptovoxels
0x0239769a1adf4def9f07da824b80b9c4fcb59593,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,4,Cryptovoxels
0x0239769a1adf4def9f07da824b80b9c4fcb59593,0x576a655161b5502dcf40602be1f3519a89b71658,1,Cryptovoxels
0x0239769a1adf4def9f07da824b80b9c4fcb59593,0x76ac6b8eedbb634261e9fa4bf25152a09e1eb90e,1,Cryptovoxels
0x0239769a1adf4def9f07da824b80b9c4fcb59593,0x959112b5a6261447080a8bfa78e9505576b9f85e,1,Cryptovoxels
0x0239769a1adf4def9f07da824b80b9c4fcb59593,0xbd2990dd4ded62520a6bf1fbc6e0da559221224b,1,Cryptovoxels
0x0239769a1adf4def9f07da824b80b9c4fcb59593,0xd2af803ad747ea12acf5ae468056703ae48785b5,1,Cryptovoxels
0x02404a0eee532466174096d57f5d3739dbd6439a,0x0f4bc970e348a061b69d05b7e2e5c13eb687e5e3,1,Cryptovoxels
0x02404a0eee532466174096d57f5d3739dbd6439a,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,9,Cryptovoxels
0x02404a0eee532466174096d57f5d3739dbd6439a,0x3dca25d72528249a844e64a762cc3bfd12da514e,1,Cryptovoxels
0x02404a0eee532466174096d57f5d3739dbd6439a,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,1,Cryptovoxels
0x0256626e58d25961a604810f5570b90c00e3652c,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x02c1285dd3c25a12cd60529b98e29278c7134fbd,0x1f6d649e7f143a06a8493f1034e4018a146f933c,1,Cryptovoxels
0x02c1285dd3c25a12cd60529b98e29278c7134fbd,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x02c1285dd3c25a12cd60529b98e29278c7134fbd,0x32ab4262df2c10ccc199f5f8e7332ed507ef3ea5,1,Cryptovoxels
0x02c1285dd3c25a12cd60529b98e29278c7134fbd,0x972e633f5f6f62d1f2a13977f113941fcb3b606b,1,Cryptovoxels
0x03009898ffd3361bb6b02b77d655f196ec82865e,0x9671a3fbbfb13d68e5770afed424f8915ea0ada3,1,Cryptovoxels
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,0x0b742783bfac8d4b6d332e5d1b63f433fcd8c0a0,1,Cryptovoxels
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,0x2b3ab8e7bb14988616359b78709538b10900ab7d,1,Cryptovoxels
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,0x4afb2d367d0939811c95950468cd8c4e59eba354,1,Cryptovoxels
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,0x781bf65cd82039c337ec12091171ee78887c8243,1,Cryptovoxels
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,0x95e217a93e191db986ba54c719760bc1089c1d19,1,Cryptovoxels
0x036403fbfe5e7349f09cb1b2275e4a652ea565d4,0x9ae8912ea6562957043c8d048641aa9b450c397f,1,Cryptovoxels
0x03ea64a5ced21e2cccfaea0aec283d0a0afe9424,0x2d891ed45c4c3eab978513df4b92a35cf131d2e2,1,Cryptovoxels
0x052ac18348a0f473771206431e1090123cc72b74,0x12d03e638d98d8f48604232a4727ad93bf1e60d0,1,Cryptovoxels
