Seller_address,Buyer_address,edge_value,Collection
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0x3945476e477de76d53b4833a46c806ef3d72b21e,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0x50012f6dfc5503b0e8286c421b558bf89c60b9e9,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0x54b174179ae825ed630da40b625bb3c883cd40ae,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0x6bfb033c1b882f494770ffdcbca1b67e62d960fd,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0x721931508df2764fd4f70c53da646cb8aed16ace,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0x987df219564cd274d32b4b442ffad1a185fc0509,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,9,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0xe39cb745e8db0da1be665adb2eab58f4fd600927,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0xf40b3d16ae26262db9b19e0ec80d8a490c40bdcb,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0xf983557ec70fbf1a4b1e247af7bf10247e9b69c4,1,Cyberkongz
0x0c4c5daa515db24865cb38f281a1a2853dad3cc4,0xfaded16020366f4468719125e7d3a81810ea46c5,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0x5df78e3f3561b03c56347355fb73a8ba63e61f0a,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0x9c83385dcd075c6cdd7d436d092e99487a696d7a,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xb4a90135a4d412cbf08a328b96a13ada3e07b7eb,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xc8847457af2aacb99955d376b2359bbeb769dabf,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xe18979f2576856d4199c6abaf4ffdf5672d930bd,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xe38171c839d3ff70147829d843ee8f9794bc2299,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xe9822f18f2654e606a8dff9d75edd98367e7c0ae,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xf946d2068a549b3225cf188339010a8383dea5f1,1,Cyberkongz
0x0c6295b8b5e9dad2d3ba15ef4cd4c47a4c0ae2fa,0xfffda1f24f612ece7a90d1d59af82508ed69b23c,1,Cyberkongz
0x0cf29c333a84064723b3c8d4630a5af539f18e3c,0x6ac423f08109094af754eb733433cad2033d80d1,1,Cyberkongz
0x0cf29c333a84064723b3c8d4630a5af539f18e3c,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,3,Cyberkongz
0x0cf29c333a84064723b3c8d4630a5af539f18e3c,0xf521bb7437bec77b0b15286dc3f49a87b9946773,2,Cyberkongz
0x0d31b3d8831b33305bfec2676e19d981241a5f53,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,2,Cyberkongz
0x0d31b3d8831b33305bfec2676e19d981241a5f53,0xa560d704935dfa40ad8e1b46e27b219e52d49d4c,1,Cyberkongz
0x0d31b3d8831b33305bfec2676e19d981241a5f53,0xcc47fcbfdd6e558fb39cf5ef4d92e59890476b86,1,Cyberkongz
0x0e9058ed40a6406cd86f1f953292806e5d77b111,0xa2548e7ad6cee01eeb19d49bedb359aea3d8ad1d,2,Cyberkongz
0x0efcc732b7f88bab88886638d2e4faacda44f7ff,0x13e57f5ba5fb9a7a4c063aec55942c0b3c70194a,1,Cyberkongz
0x0efcc732b7f88bab88886638d2e4faacda44f7ff,0x3238b53a910b69f5dbdb31786613ce944536ba19,1,Cyberkongz
0x0efcc732b7f88bab88886638d2e4faacda44f7ff,0x665498c14f80647d2a57a1f54eee4aaa9920fae8,1,Cyberkongz
